Virtual User Script started at : 2019-11-17 19:15:09	[MsgId: MMSG-205068]
t=00003367ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=ConvertRTS&cmdParam1=D%3A%5Cdev%5CVuser_Scripts%5C1.1.TCdefault.cfg	[MsgId: MMSG-205180]
t=00003374ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Init%20Block	[MsgId: MMSG-205180]
TruClient Replay (build 1053) for LoadRunner 12.60.0, build 0971. OS: Windows 10, Browser: Chromium 63.0.3239.132, initialized on 2019/11/17 at 19:15:06 (1574007306.231s)
	[MsgId: MMSG-204898]
t=00003392ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=vuser_init	[MsgId: MMSG-205180]
t=00003411ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Init%20Block	[MsgId: MMSG-205180]
Running Vuser...	[MsgId: MMSG-205064]
Starting iteration 1.	[MsgId: MMSG-15968]
t=00004218ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Run%20Block	[MsgId: MMSG-205180]
t=00004223ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=Action	[MsgId: MMSG-205180]
t=00004733ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=1%3A%20Navigate%20to%20%22https%3A%2F%2Fprocurepartestc...site%23Shell-home%22	[MsgId: MMSG-205180]
t=00004735ms: Step 1: Navigate to "https://procurepartestc...site#Shell-home" started	[MsgId: MMSG-205180]
t=00022903ms: Step 1: Navigate to https://procurepartestc1.../site#Shell-home successfully completed with End Event "Document Loaded"	[MsgId: MMSG-205180]
t=00022907ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Log%20On	[MsgId: MMSG-205180]
t=00022910ms: Step 2: Log On started	[MsgId: MMSG-205180]
t=00023413ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.2%3A%20Type%20yauhen.hedrevich%40sap.com%20in%20Welcome%20to%20Procurement...%20textbox	[MsgId: MMSG-205180]
t=00023414ms: Step 2.2: Type yauhen.hedrevich@sap.com in Welcome to Procurement... textbox started	[MsgId: MMSG-205180]
t=00031430ms: Step 2.2: Type yauhen.hedrevich@sap.com in Welcome to Procurement... textbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00031935ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.4%3A%20Type%20**************%20in%20Password%20passwordbox	[MsgId: MMSG-205180]
t=00031939ms: Step 2.4: Type ************** in Password passwordbox started	[MsgId: MMSG-205180]
t=00038047ms: Step 2.4: Type ************** in Password passwordbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00038549ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=2.5%3A%20Click%20on%20Log%20On%20button	[MsgId: MMSG-205180]
t=00038550ms: Step 2.5: Click on Log On button started	[MsgId: MMSG-205180]
t=00051476ms: Step 2.5: Click on Log On button successfully completed with End Event "Document Loaded"	[MsgId: MMSG-205180]
t=00051478ms: Step 2: Log On successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00051478ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Log%20On	[MsgId: MMSG-205180]
t=00051981ms: Step 3: Click on link (1) link started	[MsgId: MMSG-205180]
t=00051982ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=3%3A%20Click%20on%20link%20(1)%20link	[MsgId: MMSG-205180]
t=00083904ms: Step 3: Click on link (1) link successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00084406ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=5%3A%20Click%20on%20Search%20searchbox	[MsgId: MMSG-205180]
t=00084407ms: Step 5: Click on Search searchbox started	[MsgId: MMSG-205180]
t=00084776ms: Step 5: Click on Search searchbox successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00085278ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=6%3A%20Type%200000100371%20in%20Search%20searchbox	[MsgId: MMSG-205180]
t=00085279ms: Step 6: Type 0000100371 in Search searchbox started	[MsgId: MMSG-205180]
t=00090334ms: Step 6: Type 0000100371 in Search searchbox successfully completed with End Event "Action completed"	[MsgId: MMSG-205180]
t=00090837ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=8%3A%20Click%20on%20Search%20	[MsgId: MMSG-205180]
t=00090838ms: Step 8: Click on Search  started	[MsgId: MMSG-205180]
t=00091864ms: Step 8: Click on Search  successfully completed with End Event "Step network completed"	[MsgId: MMSG-205180]
t=00092367ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=InsertTransStart&cmdParam1=Transaction%201	[MsgId: MMSG-205180]
Notify: Transaction "Transaction 1" started.	[MsgId: MMSG-16999]
