Virtual User Script started at : 2019-11-17 17:23:20	[MsgId: MMSG-205068]
t=00002978ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=ConvertRTS&cmdParam1=D%3A%5Cdev%5CVuser_Scripts%5C1.1.TCdefault.cfg	[MsgId: MMSG-205180]
t=00002983ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Init%20Block	[MsgId: MMSG-205180]
TruClient Replay (build 1053) for LoadRunner 12.60.0, build 0971. OS: Windows 10, Browser: Chromium 63.0.3239.132, initialized on 2019/11/17 at 17:23:17 (1574000597.269s)
	[MsgId: MMSG-204898]
t=00002995ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=vuser_init	[MsgId: MMSG-205180]
t=00003011ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupEnd&cmdParam1=Init%20Block	[MsgId: MMSG-205180]
Running Vuser...	[MsgId: MMSG-205064]
Starting iteration 1.	[MsgId: MMSG-15968]
t=00003732ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Run%20Block	[MsgId: MMSG-205180]
t=00003744ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=AddAction&cmdParam1=Action	[MsgId: MMSG-205180]
t=00004255ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=UIEvent&cmdParam1=1%3A%20Navigate%20to%20%22https%3A%2F%2Fprocurepartestc...site%23Shell-home%22	[MsgId: MMSG-205180]
t=00004261ms: Step 1: Navigate to "https://procurepartestc...site#Shell-home" started	[MsgId: MMSG-205180]
t=00013828ms: Step 1: Navigate to https://procurepartestc1.../site#Shell-home successfully completed with End Event "Document Loaded"	[MsgId: MMSG-205180]
t=00013831ms: TC2Web: http://127.0.0.1:8085/TC2WebConversionService?cmdName=StepGroupStart&cmdParam1=Log%20On	[MsgId: MMSG-205180]
t=00013833ms: Step 2: Log On started	[MsgId: MMSG-205180]
